Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Price_Range,Year,Month
2021-04-09,Turmeric,39,Guntur,FAQ,Duggirala APMC,6871.0,5700.0,6400.0,Andhra Pradesh,Finger,1171.0,2021,4
2021-04-12,Turmeric,39,Guntur,FAQ,Duggirala APMC,7000.0,5100.0,6550.0,Andhra Pradesh,Finger,1900.0,2021,4
2021-11-18,Turmeric,39,Guntur,FAQ,Duggirala APMC,5290.0,4100.0,5290.0,Andhra Pradesh,Finger,1190.0,2021,11
2021-11-19,Turmeric,39,Guntur,FAQ,Duggirala APMC,5800.0,4600.0,4925.0,Andhra Pradesh,Finger,1200.0,2021,11
2021-11-22,Turmeric,39,Guntur,FAQ,Duggirala APMC,6001.0,5650.0,5800.0,Andhra Pradesh,Finger,351.0,2021,11
2021-11-23,Turmeric,39,Guntur,FAQ,Duggirala APMC,6000.0,5590.0,5621.0,Andhra Pradesh,Finger,410.0,2021,11
2021-11-25,Turmeric,39,Guntur,FAQ,Duggirala APMC,5700.0,5300.0,5300.0,Andhra Pradesh,Finger,400.0,2021,11
2021-11-26,Turmeric,39,Guntur,FAQ,Duggirala APMC,6450.0,4000.0,5950.0,Andhra Pradesh,Finger,2450.0,2021,11
2021-11-30,Turmeric,39,Guntur,FAQ,Duggirala APMC,6000.0,4525.0,5675.0,Andhra Pradesh,Finger,1475.0,2021,11
2022-01-03,Turmeric,39,Guntur,FAQ,Duggirala APMC,7200.0,6800.0,7075.0,Andhra Pradesh,Finger,400.0,2022,1
2022-01-04,Turmeric,39,Guntur,FAQ,Duggirala APMC,7650.0,5700.0,7011.0,Andhra Pradesh,Finger,1950.0,2022,1
2022-01-05,Turmeric,39,Guntur,FAQ,Duggirala APMC,7450.0,5800.0,6970.0,Andhra Pradesh,Finger,1650.0,2022,1
2022-01-06,Turmeric,39,Guntur,FAQ,Duggirala APMC,7475.0,5500.0,7050.0,Andhra Pradesh,Finger,1975.0,2022,1
2022-01-07,Turmeric,39,Guntur,FAQ,Duggirala APMC,7250.0,7050.0,7250.0,Andhra Pradesh,Finger,200.0,2022,1
2022-01-10,Turmeric,39,Guntur,FAQ,Duggirala APMC,7700.0,6050.0,7000.0,Andhra Pradesh,Finger,1650.0,2022,1
2022-01-11,Turmeric,39,Guntur,FAQ,Duggirala APMC,7625.0,6450.0,7321.0,Andhra Pradesh,Finger,1175.0,2022,1
2022-01-12,Turmeric,39,Guntur,FAQ,Duggirala APMC,7600.0,6800.0,7100.0,Andhra Pradesh,Finger,800.0,2022,1
2022-01-18,Turmeric,39,Guntur,FAQ,Duggirala APMC,7500.0,7161.0,7161.0,Andhra Pradesh,Finger,339.0,2022,1
2022-01-19,Turmeric,39,Guntur,FAQ,Duggirala APMC,7330.0,6500.0,7300.0,Andhra Pradesh,Finger,830.0,2022,1
2022-01-20,Turmeric,39,Guntur,FAQ,Duggirala APMC,7200.0,5000.0,6300.0,Andhra Pradesh,Finger,2200.0,2022,1
2022-01-21,Turmeric,39,Guntur,FAQ,Duggirala APMC,7335.0,5711.0,7000.0,Andhra Pradesh,Finger,1624.0,2022,1
2022-01-24,Turmeric,39,Guntur,FAQ,Duggirala APMC,7200.0,6850.0,7025.0,Andhra Pradesh,Finger,350.0,2022,1
2022-01-25,Turmeric,39,Guntur,FAQ,Duggirala APMC,6850.0,5300.0,6000.0,Andhra Pradesh,Finger,1550.0,2022,1
2022-01-27,Turmeric,39,Guntur,FAQ,Duggirala APMC,6050.0,6050.0,6050.0,Andhra Pradesh,Finger,0.0,2022,1
2022-01-28,Turmeric,39,Guntur,FAQ,Duggirala APMC,7150.0,4000.0,5150.0,Andhra Pradesh,Finger,3150.0,2022,1
2022-01-31,Turmeric,39,Guntur,FAQ,Duggirala APMC,7011.0,5000.0,6100.0,Andhra Pradesh,Finger,2011.0,2022,1
2022-02-01,Turmeric,39,Guntur,FAQ,Duggirala APMC,6900.0,4850.0,6650.0,Andhra Pradesh,Finger,2050.0,2022,2
2022-02-02,Turmeric,39,Guntur,FAQ,Duggirala APMC,6775.0,5500.0,6200.0,Andhra Pradesh,Finger,1275.0,2022,2
2022-02-03,Turmeric,39,Guntur,FAQ,Duggirala APMC,6950.0,6351.0,6775.0,Andhra Pradesh,Finger,599.0,2022,2
2022-02-07,Turmeric,39,Guntur,FAQ,Duggirala APMC,7111.0,5500.0,7100.0,Andhra Pradesh,Finger,1611.0,2022,2
2022-02-08,Turmeric,39,Guntur,FAQ,Duggirala APMC,7325.0,6250.0,6900.0,Andhra Pradesh,Finger,1075.0,2022,2
2022-02-09,Turmeric,39,Guntur,FAQ,Duggirala APMC,7280.0,4500.0,6750.0,Andhra Pradesh,Finger,2780.0,2022,2
2022-02-10,Turmeric,39,Guntur,FAQ,Duggirala APMC,7150.0,5550.0,6850.0,Andhra Pradesh,Finger,1600.0,2022,2
2022-02-11,Turmeric,39,Guntur,FAQ,Duggirala APMC,7175.0,5340.0,6550.0,Andhra Pradesh,Finger,1835.0,2022,2
2022-02-14,Turmeric,39,Guntur,FAQ,Duggirala APMC,6900.0,5600.0,6350.0,Andhra Pradesh,Finger,1300.0,2022,2
2022-02-17,Turmeric,39,Guntur,FAQ,Duggirala APMC,7000.0,5500.0,6650.0,Andhra Pradesh,Finger,1500.0,2022,2
2022-02-18,Turmeric,39,Guntur,FAQ,Duggirala APMC,6725.0,6511.0,6511.0,Andhra Pradesh,Finger,214.0,2022,2
2022-02-21,Turmeric,39,Guntur,FAQ,Duggirala APMC,6925.0,6500.0,6500.0,Andhra Pradesh,Finger,425.0,2022,2
