Arrival_Date,NCDEX_Expiry,NCDEX_Close_SameContract_Lag_1,NCDEX_Volume_SameContract_Lag_1,NCDEX_OI_SameContract_Lag_1
2022-02-08,2022-04-20,,,
2022-02-09,2022-04-20,10120.0,3035.0,10315.0
2022-02-10,2022-04-20,9996.0,2665.0,10565.0
2022-02-11,2022-04-20,10074.0,1540.0,10680.0
2022-02-14,2022-04-20,9912.0,3005.0,11025.0
2022-02-17,2022-04-20,9886.0,4085.0,11565.0
2022-02-18,2022-04-20,9798.0,2025.0,11875.0
2022-02-21,2022-04-20,10218.0,6575.0,11710.0
2022-02-23,2022-04-20,10006.0,6250.0,11810.0
2022-02-24,2022-04-20,9878.0,2515.0,12295.0
2022-02-25,2022-04-20,9330.0,6585.0,11175.0
2022-02-28,2022-04-20,9292.0,5070.0,11650.0
2022-03-02,2022-04-20,9358.0,4175.0,11380.0
2022-03-03,2022-04-20,9388.0,3195.0,11700.0
2022-03-04,2022-04-20,9520.0,4710.0,11660.0
2022-03-07,2022-04-20,9358.0,2340.0,11920.0
2022-03-09,2022-04-20,9084.0,3615.0,12155.0
2022-03-10,2022-04-20,8992.0,3080.0,12325.0
2022-03-14,2022-04-20,8820.0,2280.0,12815.0
2022-03-15,2022-04-20,8788.0,1730.0,12880.0
2022-03-22,2022-04-20,8584.0,2080.0,12860.0
2022-03-23,2022-04-20,8582.0,1740.0,13070.0
2022-03-24,2022-04-20,8560.0,2575.0,12870.0
2022-03-25,2022-04-20,8814.0,5900.0,12070.0
2022-04-06,2022-04-20,8816.0,4380.0,11300.0
2022-04-08,2022-04-20,9478.0,2025.0,5900.0
2022-04-11,2022-04-20,9392.0,2445.0,3465.0
2022-04-12,2022-04-20,9354.0,2235.0,2700.0
2022-04-13,2022-04-20,9408.0,2660.0,1390.0
2022-04-19,2022-04-20,9180.0,485.0,845.0
2022-04-20,2022-05-20,,,
2022-04-21,2022-05-20,8824.0,3565.0,16995.0
2022-04-22,2022-05-20,9030.0,3845.0,16980.0
2022-04-25,2022-05-20,8978.0,2815.0,17065.0
2022-04-26,2022-05-20,8828.0,2575.0,16880.0
2022-04-27,2022-05-20,8564.0,4960.0,16745.0
2022-04-28,2022-05-20,8738.0,3905.0,16315.0
2022-04-29,2022-05-20,8566.0,2630.0,16045.0
2022-05-02,2022-05-20,8510.0,1885.0,15745.0
2022-05-05,2022-05-20,8284.0,4780.0,15370.0
2022-05-06,2022-05-20,8108.0,6160.0,11555.0
2022-05-09,2022-05-20,8204.0,4295.0,9360.0
2022-05-10,2022-05-20,8158.0,2980.0,7790.0
2022-05-12,2022-05-20,8144.0,3310.0,5820.0
2022-05-13,2022-05-20,8410.0,3005.0,1905.0
2022-05-16,2022-05-20,8262.0,1810.0,1250.0
2022-05-17,2022-05-20,8068.0,1480.0,825.0
2022-05-18,2022-05-20,8136.0,90.0,160.0
2022-05-19,2022-06-20,,,
2022-05-20,2022-06-20,8104.0,2860.0,16800.0
2022-05-23,2022-06-20,8202.0,1975.0,16795.0
2022-05-24,2022-06-20,8258.0,2055.0,16305.0
2022-05-25,2022-06-20,8206.0,1595.0,16270.0
2022-05-26,2022-06-20,7916.0,3950.0,15805.0
2022-05-27,2022-06-20,7918.0,2990.0,15525.0
2022-05-30,2022-06-20,8002.0,2430.0,15230.0
2022-05-31,2022-06-20,8012.0,1465.0,15070.0
